Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare-at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Collection
shopify-var-0001,CloudNine Premium Mens Hoodie,<p>This is a variable product with Color and Size options.</p><p>Choose your preferred color and size combination.</p>,CloudNine,Clothing,"CloudNine, Clothing, variable",true,Color,Black,Size,S,,,shopify-var-0001-BLACK-S,858,shopify,106,deny,manual,89.99,,true,true,,,,Men's Hoodies
shopify-var-0001,,,,,,,,Black,,M,,,shopify-var-0001-BLACK-M,393,shopify,98,deny,manual,91.99,,true,true,,,,
shopify-var-0001,,,,,,,,Black,,L,,,shopify-var-0001-BLACK-L,618,shopify,119,deny,manual,93.99,,true,true,,,,
shopify-var-0001,,,,,,,,Black,,XL,,,shopify-var-0001-BLACK-XL,456,shopify,48,deny,manual,95.99,,true,true,,,,
shopify-var-0001,,,,,,,,Navy,,S,,,shopify-var-0001-NAVY-S,854,shopify,18,deny,manual,89.99,,true,true,,,,
shopify-var-0001,,,,,,,,Navy,,M,,,shopify-var-0001-NAVY-M,410,shopify,52,deny,manual,91.99,,true,true,,,,
shopify-var-0001,,,,,,,,Navy,,L,,,shopify-var-0001-NAVY-L,363,shopify,59,deny,manual,93.99,,true,true,,,,
shopify-var-0001,,,,,,,,Navy,,XL,,,shopify-var-0001-NAVY-XL,801,shopify,47,deny,manual,95.99,,true,true,,,,
shopify-var-0001,,,,,,,,Olive,,S,,,shopify-var-0001-OLIVE-S,740,shopify,101,deny,manual,89.99,,true,true,,,,
shopify-var-0001,,,,,,,,Olive,,M,,,shopify-var-0001-OLIVE-M,698,shopify,99,deny,manual,91.99,,true,true,,,,
shopify-var-0001,,,,,,,,Olive,,L,,,shopify-var-0001-OLIVE-L,639,shopify,105,deny,manual,93.99,,true,true,,,,
shopify-var-0001,,,,,,,,Olive,,XL,,,shopify-var-0001-OLIVE-XL,413,shopify,86,deny,manual,95.99,,true,true,,,,
